,file,adj_freq,noun_freq,adv_freq,verb_freq,person_count,loc_count,org_count
0,0135.a4.txt,715.84,1670.28,574.84,1008.68,8,0,2
1,2061.a4.txt,730.77,1317.31,355.77,1019.23,8,1,3
2,1067.a4.txt,604.1,1445.52,431.5,992.45,5,2,0
3,0216.a4.txt,473.73,1447.03,292.85,1300.6,8,0,4
4,3042.a4.txt,558.38,1289.34,598.98,1350.25,6,0,0
5,1032.a4.txt,679.13,1161.42,551.18,1279.53,7,1,1
6,2062.a4.txt,609.87,1229.43,416.26,1219.75,7,0,1
7,0238.a4.txt,474.38,1480.08,313.09,1309.3,5,0,1
8,2067.a4.txt,577.12,1290.66,430.22,1101.78,9,0,1
9,0102.a4.txt,566.22,1564.3,345.49,1113.24,10,0,5
10,4028.a4.txt,525.77,1453.61,505.15,1298.97,4,0,2
11,1018.a4.txt,641.23,1501.62,430.19,1209.42,8,0,2
12,1065.a4.txt,714.29,1326.53,399.66,1190.48,9,0,1
13,2048.a4.txt,734.16,1684.7,332.3,1035.55,8,0,3
14,2019.a4.txt,484.54,1536.08,412.37,1278.35,6,0,1
15,1008.a4.txt,711.46,1620.55,553.36,998.02,6,2,3
16,0119.a4.txt,471.09,1552.46,364.03,1359.74,2,0,4
17,2042.a4.txt,653.66,1463.41,273.17,1043.9,9,0,0
18,0161.a4.txt,735.29,1637.25,284.31,1088.24,4,0,4
19,0234.a4.txt,752.69,1634.41,526.88,989.25,9,0,2
20,2022.a4.txt,500.64,1476.25,359.44,1232.35,9,0,2
21,0213.a4.txt,508.3,1732.37,487.55,1068.46,3,1,3
22,1074.a4.txt,744.78,1389.65,454.13,1044.5,7,0,1
23,4023.a4.txt,617.16,1301.83,559.31,1137.9,8,1,0
24,0218.a4.txt,621.81,1243.63,214.07,1172.27,5,1,1
25,2064.a4.txt,535.91,1425.51,353.7,1189.71,8,0,0
26,0190.a4.txt,477.67,1329.18,342.68,1048.81,4,1,5
27,2030.a4.txt,482.76,1396.55,422.41,1267.24,7,0,2
28,0237.a4.txt,731.71,1495.23,466.6,1208.91,3,0,1
29,2055.a4.txt,582.12,1455.3,353.43,977.13,9,0,0
30,1121.a4.txt,568.59,1570.4,541.52,1092.06,7,0,2
31,2014.a4.txt,671.32,1360.07,401.05,1063.64,7,0,1
32,0105.a4.txt,546.08,1410.69,728.1,1149.03,6,0,2
33,0139.a4.txt,769.23,1402.71,305.43,837.1,6,0,2
34,4045.a4.txt,564.05,1520.08,564.05,1080.31,7,0,0
35,0108.a4.txt,620.44,1441.61,392.34,1304.74,8,0,2
36,0204.a4.txt,536.13,1480.19,372.96,1083.92,7,0,1
37,0222.a4.txt,604.8,1678.83,427.53,1220.02,3,0,3
38,0219.a4.txt,773.31,1228.81,625.0,1197.03,7,0,1
39,1012.a4.txt,776.89,1733.07,358.57,956.18,8,0,1
40,0194.a4.txt,576.34,1678.46,394.34,1183.01,7,0,3
41,1076.a4.txt,591.35,1553.4,291.26,1050.31,7,1,1
42,0235.a4.txt,657.48,1463.41,296.92,1166.49,5,0,4
43,2072.a4.txt,650.49,1699.03,485.44,1184.47,5,0,5
44,0227.a4.txt,410.85,1744.19,325.58,1124.03,8,0,3
45,0224.a4.txt,669.17,1319.57,368.98,1125.7,8,0,5
46,1095.a4.txt,685.39,1528.09,584.27,1146.07,9,0,0
47,0192.a4.txt,443.97,1775.9,359.41,1194.5,2,0,2
48,0121.a4.txt,602.21,1391.01,458.02,1085.67,9,0,3
49,2011.a4.txt,790.96,1789.08,376.65,922.79,8,0,2
50,1014.a4.txt,571.43,1387.76,387.76,1275.51,7,0,1
51,0112.a4.txt,545.83,1431.51,391.35,1184.35,1,0,3
52,2000.a4.txt,641.82,1780.54,445.13,952.38,6,0,2
53,2007.a4.txt,475.71,1406.88,445.34,1113.36,7,1,3
54,0169.a4.txt,719.74,1472.19,348.96,1275.9,3,0,1
55,1017.a4.txt,755.29,1525.68,543.81,1049.85,3,0,1
56,0205.a4.txt,533.12,1405.49,468.5,1066.24,11,0,3
57,1094.a4.txt,571.43,1185.19,592.59,1185.19,8,1,1
58,0215.a4.txt,586.82,1728.3,313.5,948.55,11,0,4
59,5009.a4.txt,697.37,1414.47,322.37,1019.74,5,0,1
60,2035.a4.txt,379.75,1460.56,447.91,1148.98,3,0,1
61,1102.a4.txt,801.98,1405.94,425.74,1099.01,7,1,3
62,1048.a4.txt,532.01,1433.72,568.08,1316.5,4,0,2
63,0187.a4.txt,530.97,1382.74,331.86,1338.5,4,0,6
64,4030.a4.txt,449.44,1348.31,561.8,1367.04,7,0,0
65,2065.a4.txt,569.03,1054.1,410.45,1184.7,11,0,2
66,1003.a4.txt,622.08,1897.36,295.49,1057.54,4,0,1
67,2031.a4.txt,652.17,1587.9,472.59,982.99,10,0,2
68,2038.a4.txt,626.96,1745.04,417.97,982.24,6,0,2
69,1049.a4.txt,809.13,1369.29,497.93,1296.68,7,0,1
70,1066.a4.txt,750.51,1714.0,294.12,963.49,5,0,2
71,2059.a4.txt,614.04,1520.47,389.86,1003.9,7,0,3
72,2069.a4.txt,578.51,1384.3,485.54,1363.64,8,0,1
73,0206.a4.txt,636.22,1150.08,424.14,1044.05,7,0,6
74,1036.a4.txt,626.42,1548.97,501.14,1150.34,10,0,2
75,2066.a4.txt,731.71,1682.93,451.22,1109.76,9,0,2
76,1098.a4.txt,560.25,1384.78,486.26,1099.37,9,0,1
77,2050.a4.txt,699.8,1440.16,212.98,1085.19,5,0,1
78,2074.a4.txt,600.57,1449.0,371.78,1267.87,6,0,2
79,1060.a4.txt,1015.71,1664.92,335.08,931.94,4,0,0
80,0165.a4.txt,407.98,1867.63,398.91,1015.41,7,0,2
81,3003.a4.txt,716.69,1812.82,328.84,1121.42,5,0,0
82,0137.a4.txt,540.84,1777.04,397.35,993.38,5,0,5
83,0156.a4.txt,513.74,1254.48,454.0,1278.38,3,0,4
84,1057.a4.txt,511.95,1322.53,409.56,1194.54,7,0,2
85,2044.a4.txt,707.61,1655.54,307.08,1094.79,7,1,1
86,3065.a4.txt,449.32,1389.76,658.31,1274.82,4,0,4
87,0136.a4.txt,629.26,1349.51,318.42,1129.64,9,1,3
88,1009.a4.txt,566.04,1698.11,377.36,1054.38,7,0,2
89,2005.a4.txt,507.44,1627.3,533.68,1119.86,7,0,3
90,2036.a4.txt,642.99,1170.83,412.67,1199.62,6,0,0
91,1021.a4.txt,821.92,1643.84,452.05,1013.7,8,0,0
92,2040.a4.txt,440.0,1400.0,350.0,1270.0,7,0,2
93,0188.a4.txt,612.24,1679.04,463.82,1020.41,6,0,2
94,1050.a4.txt,784.31,1544.12,404.41,1200.98,4,0,2
95,3020.a4.txt,509.36,1424.12,561.33,1205.82,8,0,0
96,2057.a4.txt,608.97,1677.35,555.56,1132.48,7,0,1
97,4031.a4.txt,391.17,1273.82,491.47,1223.67,6,0,0
98,1072.a4.txt,738.31,1575.06,410.17,926.99,4,0,1
99,4034.a4.txt,613.5,1390.59,541.92,1380.37,5,0,1
100,2058.a4.txt,983.61,1483.61,401.64,926.23,10,0,3
101,0140.a4.txt,550.16,1413.16,442.29,1046.39,7,0,4
102,2056.a4.txt,676.06,1305.16,572.77,1230.05,7,0,0
103,0202.a4.txt,366.77,1391.59,194.17,1467.1,2,0,2
104,2075.a4.txt,522.19,1418.62,443.86,1035.68,10,0,1
105,2024.a4.txt,554.99,1342.08,494.45,1231.08,9,0,1
106,0159.a4.txt,633.04,1562.81,464.89,1068.25,7,0,4
107,0176.a4.txt,588.24,1591.13,530.38,993.25,10,0,3
108,0110.a4.txt,613.43,1793.98,335.65,1157.41,3,0,1
109,1068.a4.txt,671.46,2134.29,239.81,959.23,2,0,5
110,0179.a4.txt,909.99,1750.74,217.61,1048.47,10,0,2
111,0109.a4.txt,657.41,1666.67,388.89,1138.89,3,0,3
112,0107.a4.txt,659.23,1531.44,436.11,1318.46,5,0,2
113,1112.a4.txt,614.2,1449.14,537.43,1142.03,7,0,1
114,0149.a4.txt,689.04,1384.06,329.54,1174.36,6,0,5
115,2018.a4.txt,740.74,1759.26,442.39,1028.81,10,0,1
116,0185.a4.txt,703.21,1623.58,341.26,1147.88,8,0,1
117,1010.a4.txt,746.62,1691.82,468.63,818.11,11,0,3
118,3037.a4.txt,657.89,1447.37,400.72,1094.5,18,1,7
119,0103.a4.txt,413.99,997.08,297.38,1189.5,11,0,4
120,2039.a4.txt,610.33,1690.14,507.04,967.14,8,0,3
121,0186.a4.txt,541.13,1525.97,346.32,1244.59,2,0,5
122,0130.a4.txt,479.26,1631.34,497.7,995.39,8,0,3
123,2032.a4.txt,519.88,1597.86,412.84,1016.82,8,0,1
124,1061.a4.txt,559.24,1440.76,369.67,1165.88,4,0,3
125,1005.a4.txt,483.46,1560.64,390.16,983.88,7,0,4
126,0134.a4.txt,773.58,1311.32,349.06,1000.0,4,0,0
127,0122.a4.txt,609.07,1650.14,403.68,1041.08,7,0,5
128,1077.a4.txt,910.13,1888.51,580.2,1001.14,8,0,4
129,0193.a4.txt,455.17,1462.07,255.17,1041.38,6,0,6
130,0200.a4.txt,554.97,1476.44,649.21,1308.9,5,0,1
131,0111.a4.txt,676.53,1427.06,391.12,1226.22,4,0,5
132,0127.a4.txt,530.04,1224.97,647.82,1142.52,6,0,5
133,1023.a4.txt,839.42,1687.96,474.45,821.17,12,1,2
134,2015.a4.txt,601.5,1578.95,494.09,1041.89,10,1,3
135,0208.a4.txt,510.64,1021.28,574.47,1397.16,7,0,4
136,0178.a4.txt,709.52,1736.23,450.75,1068.45,4,0,3
137,0175.a4.txt,709.81,1555.32,407.1,1075.16,7,0,2
138,2028.a4.txt,668.27,1725.96,346.15,1125.0,14,1,3
139,2020.a4.txt,552.71,1381.78,388.95,1248.72,5,0,1
140,1081.a4.txt,607.18,1563.94,257.59,1103.96,8,0,3
141,1013.a4.txt,668.63,1406.1,304.82,1081.61,10,0,0
142,0158.a4.txt,677.18,1391.47,565.86,1094.62,6,0,1
143,0197.a4.txt,478.17,1392.93,405.41,1216.22,6,0,4
144,2049.a4.txt,560.34,1882.18,301.72,897.99,9,0,5
145,0223.a4.txt,459.08,1367.27,389.22,1377.25,5,0,4
146,2017.a4.txt,626.84,1665.03,430.95,1067.58,6,0,0
147,2076.a4.txt,594.06,1445.54,455.45,1178.22,4,0,1
148,2046.a4.txt,723.24,1407.91,424.3,1051.11,9,0,1
149,2034.a4.txt,469.75,1457.01,469.75,1138.54,10,0,3
150,2021.a4.txt,473.84,1421.52,414.61,1273.45,3,0,1
151,0168.a4.txt,632.91,1500.0,474.68,1025.32,14,0,6
152,1103.a4.txt,566.43,1544.8,494.34,1040.16,9,0,2
153,0177.a4.txt,739.47,1092.0,515.91,1410.15,6,0,4
154,0214.a4.txt,550.06,1243.12,605.06,1309.13,7,0,6
155,1104.a4.txt,685.2,1628.6,337.64,983.12,9,0,2
156,1099.a4.txt,656.22,1459.35,254.65,1165.52,8,0,2
157,2012.a4.txt,664.45,1627.91,290.7,1021.59,10,0,1
158,1100.a4.txt,617.8,1424.08,429.32,1109.95,6,0,2
159,1088.a4.txt,442.84,1246.14,329.56,1246.14,6,0,1
160,1006.a4.txt,803.06,1931.17,458.89,841.3,8,0,1
161,0115.a4.txt,718.23,1878.45,519.34,850.83,3,0,3
162,3001.a4.txt,504.28,1493.82,485.25,1303.52,3,0,0
163,0157.a4.txt,716.54,1390.94,569.02,1074.82,7,0,1
164,0171.a4.txt,612.04,1421.52,345.51,1016.78,7,0,3
165,2008.a4.txt,788.11,1304.91,503.88,1214.47,4,0,1
166,1064.a4.txt,616.97,1568.12,437.02,1045.42,8,0,2
167,0198.a4.txt,428.02,1128.4,359.92,1147.86,4,0,5
168,0106.a4.txt,713.59,1378.3,410.56,1065.49,7,0,5
169,3026.a4.txt,625.0,1540.7,399.71,1199.13,4,0,0
170,1052.a4.txt,613.86,1366.34,465.35,1128.71,9,0,1
