,file,adj_freq,noun_freq,adv_freq,verb_freq,person_count,loc_count,org_count
0,0223.a5.txt,675.78,1586.94,387.24,1032.65,6,2,6
1,0182.a5.txt,738.96,2265.06,425.7,1076.31,7,0,2
2,2026.a5.txt,736.94,1791.04,438.43,839.55,4,5,1
3,2035.a5.txt,663.03,1801.87,468.02,889.24,3,0,0
4,0102.a5.txt,876.09,1657.46,268.35,1033.94,7,3,5
5,0222.a5.txt,697.0,1771.54,416.26,1151.98,0,1,1
6,2071.a5.txt,892.48,2283.91,400.56,1061.14,2,0,1
7,0159.a5.txt,964.07,2112.18,333.04,1060.47,0,0,1
8,1018.a5.txt,898.1,2038.0,276.34,958.55,5,1,0
9,0105.a5.txt,553.99,1530.52,582.16,1042.25,2,4,3
10,2075.a5.txt,623.29,1990.16,415.53,814.65,10,1,3
11,1022.a5.txt,1054.51,2377.12,455.76,1152.82,1,0,0
12,1036.a5.txt,659.77,1384.22,310.48,944.37,5,1,3
13,0134.a5.txt,710.34,1752.17,473.56,986.58,4,1,3
14,1074.a5.txt,845.32,1906.47,530.58,1070.14,3,1,1
15,1057.a5.txt,611.75,1370.31,342.58,1207.18,6,2,2
16,1070.a5.txt,700.0,1354.55,327.27,1190.91,11,2,2
17,0199.a5.txt,773.64,1814.71,382.04,993.31,6,5,1
18,0215.a5.txt,558.62,1762.39,283.24,952.01,9,2,3
19,0188.a5.txt,744.76,1559.35,457.72,1055.08,6,1,2
20,0219.a5.txt,891.89,2063.06,603.6,981.98,3,0,3
21,2040.a5.txt,846.88,2001.71,333.62,975.19,11,0,7
22,1034.a5.txt,747.95,1813.52,379.1,1014.34,4,3,6
23,0158.a5.txt,763.83,1580.33,544.34,1202.81,7,0,3
24,0137.a5.txt,577.28,1797.02,456.24,1061.45,2,2,3
25,1008.a5.txt,877.19,1921.85,430.62,1020.73,6,0,1
26,1010.a5.txt,886.56,2230.7,305.05,877.03,5,0,8
27,1021.a5.txt,659.77,1824.06,401.03,1138.42,4,0,5
28,1094.a5.txt,548.07,1482.48,251.57,1347.71,9,1,2
29,0108.a5.txt,765.03,2099.92,327.87,1061.67,7,0,5
30,1072.a5.txt,542.75,1390.33,460.97,1055.76,5,3,8
31,2028.a5.txt,734.39,2038.44,439.26,912.83,13,1,1
32,1068.a5.txt,727.27,1963.64,509.09,1309.09,2,2,1
33,0193.a5.txt,835.49,2187.77,396.21,1076.66,1,0,1
34,1081.a5.txt,900.47,2037.91,417.06,1071.09,2,0,4
35,2039.a5.txt,736.68,1277.43,423.2,987.46,12,2,3
36,1062.a5.txt,772.33,1488.33,450.52,868.87,7,2,6
37,1104.a5.txt,578.86,1669.46,444.63,989.93,9,5,6
38,2019.a5.txt,666.67,1804.44,364.44,1164.44,9,5,2
39,1005.a5.txt,581.4,1798.45,356.59,1000.0,3,1,4
40,0178.a5.txt,793.76,1519.67,461.33,1017.64,9,5,3
41,0122.a5.txt,722.57,1757.36,365.74,1025.87,6,0,1
42,1023.a5.txt,675.99,1647.24,435.12,994.56,7,3,3
43,0238.a5.txt,668.08,1898.2,328.74,1145.28,3,1,0
44,2050.a5.txt,682.57,1669.41,460.53,871.71,7,3,9
45,1112.a5.txt,1019.64,1993.96,521.15,1087.61,6,0,1
46,1012.a5.txt,741.67,1975.0,325.0,1025.0,3,0,0
47,0106.a5.txt,848.6,1996.14,655.74,964.32,2,0,0
48,1095.a5.txt,813.65,1487.31,419.95,1041.12,7,1,1
49,0227.a5.txt,761.97,1625.54,348.33,928.88,12,2,1
50,1032.a5.txt,664.45,2159.47,573.09,1162.79,0,0,1
51,0234.a5.txt,512.38,1588.39,333.05,922.29,10,6,4
52,2032.a5.txt,987.34,1687.76,337.55,902.95,4,1,3
53,2015.a5.txt,763.99,1845.69,332.83,945.54,4,2,5
54,1064.a5.txt,606.31,2182.7,582.05,1236.86,2,0,2
55,1088.a5.txt,856.4,1358.13,320.07,1115.92,7,0,0
56,2020.a5.txt,815.07,2007.01,254.16,911.48,4,1,2
57,2048.a5.txt,1036.04,1478.98,322.82,765.77,14,1,5
58,0128.a5.txt,832.53,1945.79,484.03,1132.62,1,6,0
59,2045.a5.txt,737.41,1915.47,323.74,1034.17,6,2,2
60,0185.a5.txt,724.02,1805.79,221.47,1047.7,4,3,3
61,0140.a5.txt,632.34,1716.35,280.04,1029.81,6,3,2
62,0192.a5.txt,651.44,1658.21,439.93,1116.75,9,2,2
63,1041.a5.txt,719.79,1636.68,437.02,865.47,11,2,6
64,1043.a5.txt,627.72,1473.41,540.54,1115.95,8,1,0
65,1065.a5.txt,726.67,1816.68,388.11,966.14,10,3,4
66,0121.a5.txt,613.46,1543.54,382.59,1029.02,6,0,6
67,2014.a5.txt,832.04,2200.62,458.79,1018.66,5,0,3
68,2066.a5.txt,844.4,2134.72,275.14,1148.01,5,2,0
69,0161.a5.txt,970.09,2190.78,258.69,881.16,3,0,3
70,0111.a5.txt,680.97,1669.78,307.84,1044.78,7,6,4
71,0104.a5.txt,638.49,1897.48,368.71,935.25,5,3,6
72,1014.a5.txt,790.12,1851.85,353.91,1012.35,6,3,3
73,0187.a5.txt,778.99,2282.61,362.32,1105.07,5,1,5
74,0171.a5.txt,521.74,1572.46,384.06,949.28,15,2,2
75,2034.a5.txt,609.76,1714.94,373.48,884.15,6,2,12
76,0139.a5.txt,525.04,1340.87,315.02,1195.48,9,3,5
77,0119.a5.txt,736.75,1837.75,231.79,1092.72,7,3,3
78,2058.a5.txt,622.12,1436.25,345.62,937.02,8,1,5
79,0163.a5.txt,882.8,2313.55,433.79,936.07,1,0,0
80,0198.a5.txt,806.61,2138.0,369.29,1010.69,2,0,0
81,1121.a5.txt,673.99,1509.16,505.49,1062.27,4,2,2
82,0165.a5.txt,830.42,2054.2,288.46,987.76,5,0,4
83,1003.a5.txt,716.28,2204.65,241.86,1041.86,4,0,0
84,1048.a5.txt,673.37,2151.7,410.22,1006.19,3,0,6
85,1050.a5.txt,764.59,1609.66,482.9,1106.64,6,4,1
86,2012.a5.txt,716.98,2037.74,369.81,830.19,5,2,4
87,0112.a5.txt,643.43,2171.58,580.88,1081.32,3,0,2
88,0186.a5.txt,886.18,1959.35,398.37,967.48,6,0,0
89,1102.a5.txt,691.82,2066.49,314.47,1006.29,3,1,2
90,0214.a5.txt,663.72,1628.32,309.73,1097.35,9,4,2
91,2049.a5.txt,1098.2,2249.21,337.91,1129.88,5,1,0
92,0206.a5.txt,707.89,1480.88,358.01,951.99,5,1,5
93,2007.a5.txt,705.49,1534.15,559.91,873.46,7,3,2
94,0197.a5.txt,374.29,1505.29,333.6,886.9,7,1,5
95,1061.a5.txt,586.26,1457.29,234.51,1072.03,15,2,3
96,0157.a5.txt,634.92,1737.21,590.83,1172.84,3,0,0
97,1055.a5.txt,1046.83,1799.82,459.14,1065.2,1,2,1
98,0130.a5.txt,738.1,1658.73,285.71,928.57,14,2,1
99,1100.a5.txt,571.67,1587.03,324.23,1117.75,4,1,4
100,0149.a5.txt,825.4,2579.37,365.08,1238.1,1,0,2
