,file,adj_freq,noun_freq,adv_freq,verb_freq,person_count,loc_count,org_count
0,0310.b3.txt,805.26,1750.21,562.86,718.98,22,6,11
1,0103.b3.txt,589.72,1861.84,244.31,560.24,19,1,39
2,1533.b3.txt,707.36,1709.78,339.53,893.29,8,0,15
3,1097.b3.txt,904.67,1585.6,530.16,836.58,13,1,10
4,0165.b3.txt,629.56,1723.0,248.51,652.75,43,0,21
5,0171.b3.txt,814.54,1622.81,313.28,789.47,11,0,19
6,0122.b3.txt,597.32,1390.32,262.62,793.0,14,2,14
7,0307.b3.txt,769.65,1616.27,230.9,736.67,12,4,20
8,0139.b3.txt,838.22,1963.66,363.42,838.22,10,1,8
9,0200.b3.txt,843.29,1786.19,424.97,783.53,9,0,4
10,2018.b3.txt,675.2,1792.78,296.86,1030.27,11,0,13
11,1102.b3.txt,921.83,1681.42,435.1,707.96,4,4,4
12,1520.b3.txt,530.13,1173.54,285.46,774.81,20,1,29
13,0313.b3.txt,769.54,1718.5,279.11,546.25,5,2,13
14,2034.b3.txt,605.26,1421.05,394.74,1142.11,14,0,11
15,1100.b3.txt,658.94,1622.01,304.13,745.84,15,2,4
16,1057.b3.txt,649.2,1804.95,366.81,949.05,19,1,15
17,0140.b3.txt,580.32,2699.75,277.54,647.6,5,0,2
18,1069.b3.txt,653.33,1459.68,397.29,706.3,36,1,24
19,1508.b3.txt,651.76,1531.87,313.99,865.84,18,1,19
20,1066.b3.txt,958.69,1705.51,429.03,884.53,9,0,8
21,0303.b3.txt,812.64,1512.42,428.89,767.49,2,0,1
22,0304.b3.txt,611.95,1699.06,439.16,835.13,6,4,9
23,1536.b3.txt,680.97,1823.06,466.49,745.31,13,3,6
24,1023.b3.txt,769.23,1256.41,448.72,724.36,8,0,7
25,1112.b3.txt,823.91,1591.28,460.42,888.53,8,0,9
26,0308.b3.txt,844.44,1765.08,704.76,901.59,4,1,4
27,1532.b3.txt,663.78,1625.78,365.56,846.56,16,3,19
28,0130.b3.txt,693.02,1575.98,426.08,759.75,11,5,12
29,1082.b3.txt,886.36,2103.9,318.18,675.32,13,2,17
30,0134.b3.txt,807.2,1562.14,813.01,940.77,11,0,10
31,1534.b3.txt,972.1,1701.17,499.55,832.58,13,0,9
32,0133.b3.txt,559.35,1305.14,359.25,768.53,38,4,19
33,0300.b3.txt,803.97,1593.05,292.8,843.67,23,1,14
34,0105.b3.txt,760.14,1385.14,396.96,861.49,7,0,8
