,file,adj_freq,noun_freq,adv_freq,verb_freq,person_count,loc_count,org_count
0,0151.b7.txt,910.24,1934.26,442.48,1074.59,2,0,2
1,0178.b7.txt,949.32,1979.08,716.01,1021.72,4,0,3
2,0223.b7.txt,862.26,1982.08,447.93,1041.43,0,0,1
3,0107.b7.txt,1036.04,1632.88,540.54,1081.08,0,1,6
4,0219.b7.txt,1013.51,2094.59,585.59,1002.25,1,1,0
5,0137.b7.txt,815.92,2109.45,348.26,965.17,4,1,2
6,0157.b7.txt,882.35,1270.59,588.24,1223.53,5,1,1
7,0106.b7.txt,835.05,1762.89,515.46,1257.73,0,1,0
8,0158.b7.txt,737.7,1838.41,491.8,1229.51,1,1,0
9,0185.b7.txt,821.5,1815.42,618.66,1156.19,1,0,0
10,0224.b7.txt,947.8,2101.65,315.93,1030.22,1,1,1
11,0238.b7.txt,715.81,1688.03,555.56,1185.9,1,0,2
12,0198.b7.txt,809.82,2024.54,503.07,1079.75,0,0,2
13,0186.b7.txt,738.1,1714.29,642.86,1095.24,0,0,1
14,0318.b7.txt,820.11,2076.72,515.87,912.7,1,0,0
