,file,adj_freq,noun_freq,adv_freq,verb_freq,person_count,loc_count,org_count
0,0105.b1.txt,679.61,2024.97,859.92,1040.22,0,0,1
1,1100.b1.txt,1148.2,1989.32,560.75,1081.44,0,0,0
2,3522.b1.txt,712.69,2060.13,467.71,1158.13,1,0,4
3,3504.b1.txt,717.82,2091.58,482.67,952.97,7,0,12
4,2012.b1.txt,643.68,1804.6,574.71,1034.48,3,0,1
5,2066.b1.txt,603.22,1836.46,388.74,1340.48,6,0,0
6,4507.b1.txt,774.57,2265.9,508.67,1306.36,2,0,1
7,1102.b1.txt,678.16,2287.36,471.26,977.01,0,0,4
8,3513.b1.txt,861.0,2157.68,321.58,1265.56,2,1,1
9,3509.b1.txt,757.75,1791.04,597.01,1067.74,1,0,6
10,2012.b1i.txt,643.68,1804.6,574.71,1034.48,3,0,1
11,0310.b1.txt,709.3,2034.88,639.53,965.12,5,0,4
12,4503.b1.txt,625.0,1862.5,375.0,1100.0,2,2,2
13,1081.b1.txt,766.0,1909.76,503.67,1122.77,2,0,3
14,2032.b1.txt,758.53,1820.48,619.47,1238.94,2,0,0
15,0313.b1.txt,651.47,1715.53,738.33,1064.06,0,0,1
16,3519.b1.txt,821.48,1437.6,458.14,963.67,0,0,3
17,2042.b1.txt,736.58,1635.46,611.74,1173.53,1,0,2
18,3508.b1.txt,1108.79,1851.46,564.85,847.28,2,4,1
19,0304.b1.txt,749.6,1770.33,622.01,1307.81,1,0,0
20,3013.b1.txt,935.09,1969.2,363.04,1166.12,2,0,0
21,3501.b1.txt,924.7,2311.76,422.72,977.54,3,1,2
22,1523.b1.txt,858.37,1230.33,686.7,1201.72,1,1,3
23,1057.b1.txt,765.5,1734.5,697.67,1230.62,0,1,0
24,3018.b1.txt,683.45,1942.45,527.58,1235.01,2,0,1
25,3525.b1.txt,736.68,1755.49,360.5,1206.9,1,0,2
26,1508.b1.txt,760.6,2206.98,561.1,1159.6,0,0,0
27,1528.b1.txt,563.09,2002.09,271.12,1084.46,7,0,4
28,1104.b1i.txt,715.07,1848.18,550.06,946.09,5,0,5
29,1021.b1.txt,896.55,1735.63,574.71,919.54,1,0,2
30,1006.b1.txt,839.16,2027.97,524.48,955.71,0,1,5
31,0103.b1.txt,962.8,2045.95,240.7,1017.51,2,0,3
32,0200.b1.txt,785.54,2206.98,822.94,1059.85,0,1,2
33,3505.b1.txt,915.87,1629.39,745.47,1150.16,2,0,4
34,1104.b1.txt,715.07,1848.18,550.06,946.09,5,0,5
35,1541.b1.txt,837.91,2005.49,576.92,810.44,1,1,1
36,4035.b1.txt,617.61,1563.73,709.59,1143.23,1,0,0
37,2070.b1i.txt,535.71,2023.81,440.48,1071.43,2,0,2
38,3511.b1.txt,895.36,1672.06,701.19,1186.62,0,0,0
39,3518.b1.txt,583.61,1739.62,662.18,1077.44,5,1,0
40,1500.b1.txt,734.39,2264.38,538.56,869.03,1,0,4
41,0307.b1.txt,697.67,2070.87,287.93,852.71,12,0,3
42,2018.b1.txt,792.18,2201.65,483.54,967.08,0,1,8
43,3503.b1.txt,753.62,2405.8,376.81,811.59,0,0,0
44,3506.b1.txt,845.07,2288.73,316.9,927.23,0,0,3
45,1023.b1.txt,1084.85,1804.51,805.59,859.29,1,0,5
46,0134.b1.txt,807.17,1995.52,661.43,1008.97,0,0,0
47,0122.b1.txt,761.12,2131.15,515.22,1206.09,0,0,0
48,1097.b1.txt,941.66,1954.96,593.65,962.13,9,0,2
49,4036.b1.txt,985.44,1746.92,481.52,1007.84,3,0,1
50,3062.b1.txt,1002.42,2306.76,507.25,905.8,0,0,0
51,1069.b1.txt,646.04,1610.56,618.74,828.03,6,1,7
52,2049.b1.txt,694.6,2138.92,518.19,992.28,4,0,1
53,3520.b1.txt,858.59,2424.24,606.06,898.99,0,1,0
54,1012.b1.txt,837.5,2175.0,400.0,962.5,0,0,0
55,1066.b1.txt,1084.91,1922.17,601.42,1025.94,1,0,3
56,2034.b1.txt,628.34,1871.66,574.87,975.94,5,0,2
57,3515.b1.txt,921.99,2293.14,508.27,1052.01,2,0,1
58,0308.b1.txt,929.12,1915.71,727.97,977.01,1,0,0
59,0140.b1.txt,728.4,2160.49,543.21,1024.69,0,0,0
60,3510.b1.txt,956.89,1850.68,399.58,893.8,4,1,11
61,4012.b1.txt,705.62,2249.17,672.55,970.23,1,0,0
62,0139.b1.txt,742.86,1885.71,457.14,1211.43,0,0,0
63,1520.b1.txt,783.7,1974.92,522.47,961.34,0,2,2
64,3020.b1.txt,621.12,1904.76,403.73,1066.25,1,1,4
65,1112.b1.txt,678.69,2089.08,593.85,1145.28,0,0,0
66,4038.b1.txt,746.45,2109.0,639.81,995.26,0,0,0
67,3523.b1.txt,1004.37,2150.66,513.1,1091.7,0,0,9
68,2030.b1.txt,974.68,1708.86,645.57,1025.32,1,0,0
